unidad,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036
1,2166.30051021,2884.67835653,3431.53775589,3901.60293147,4124.48689466,4088.95055011,4055.77445357,4024.62533657,3995.21367313,3973.04748845,3952.15595038,3932.08073016,3912.73178243,3894.03950594,3887.42826976,3904.80429787,3918.64409509,3929.52692509,3937.96259582,3962.20773698
2,1455.054437,1931.10060957,2290.01945163,2596.12233042,2737.06739143,2707.11179985,2679.10768601,2652.80896899,2628.04856482,2611.01232383,2596.22508646,2581.76624104,2567.64069196,2553.85254389,2551.27569004,2552.45238201,2553.23425856,2553.6615247,2553.78790683,2566.44804468
3,681.993707204,904.023227534,1070.71909407,1212.30879116,1277.04760117,1261.86010213,1247.36699017,1233.498059,1220.27514976,1213.56569164,1208.85985749,1203.69353744,1198.17684414,1192.39768364,1195.0159236,1199.09197446,1202.06743453,1204.12582777,1205.41798318,1217.33761432
4,2397.52756274,3197.91939162,3809.93376742,4337.83218859,4593.57428405,4561.14349797,4529.92464092,4499.79999843,4470.90501038,4456.47028419,4447.01655482,4436.28260603,4424.53799861,4411.99803204,4419.50857659,4454.51032276,4483.24618966,4506.77784419,4525.95940654,4568.88888515
5,8156.65688607,10930.6079487,13077.337851,14946.064912,15925.9470865,15885.9436223,15842.5007772,15796.6311732,15749.1077769,15739.2337488,15722.641583,15700.4762476,15674.1285755,15644.6758806,15636.9750221,15595.6498118,15561.4525533,15532.9537734,15509.1465289,15488.8489674
6,3034.67664586,4094.64165206,4930.3661032,5669.09626296,6063.22184245,6062.27498245,6060.27297536,6057.44340074,6053.94090348,6049.15015781,6043.62067722,6037.66924532,6031.41979236,6024.96183189,6009.81556779,6000.16294523,5992.3104501,5985.91261557,5980.75554888,5963.07811095
7,2031.48994373,2690.92973942,3184.15923292,3601.2520399,3801.03974252,3763.51308595,3726.76805827,3690.89864695,3656.00255789,3638.72420529,3621.5498257,3603.19527759,3584.08246085,3564.53810887,3560.90711354,3514.5300948,3475.0596332,3441.21543271,3412.00519511,3391.62756668
8,1066.15869287,1434.8005971,1724.32807813,1980.03266281,2103.59577073,2097.78232434,2093.64749954,2090.89230124,2089.16201383,2079.87265667,2068.73713719,2059.90373237,2052.97732235,2047.64514171,2036.24302163,2048.75523459,2060.05539947,2070.36667141,2079.8762343,2089.78848259
9,939.180029271,1258.30442589,1505.49616303,1721.06498959,1830.17067245,1824.06698632,1818.2498513,1812.67403709,1807.28386807,1804.76575777,1802.12389346,1799.37293218,1796.53061467,1793.61222405,1795.30245061,1818.530377,1838.21831456,1854.96686113,1869.26650431,1889.46977817
10,2524.77862339,3331.39681835,3927.76953673,4427.14271656,4657.22194932,4594.69350968,4534.25476175,4475.78000229,4419.25109477,4394.73688873,4371.03263937,4345.36914241,4318.28687458,4290.21544951,4300.34214936,4246.24876236,4198.69646153,4156.46790203,4118.65384278,4109.10386717
